Section,Type,Content
Listings,Address,"304 ELLIOTT STREET West, Windsor, Ontario"
Listings,Price,"$149,900 "
Listings,Address,"2015 BALFOUR BOULEVARD, Windsor, Ontario"
Listings,Price,"$999,750 "
Listings,Address,"1311 OTTAWA STREET, Windsor, Ontario"
Listings,Price,"$98,000 "
Listings,Address,"1379-1381 PIERRE Avenue, Windsor, Ontario"
Listings,Price,"$799,900 "
Listings,Address,"150 OLD FRONT ROAD, LaSalle, Ontario"
Listings,Price,"$259,900 "
Listings,Address,"3905 TECUMSEH ROAD E, Windsor, Ontario"
Listings,Price,"$1,699,000 "
Listings,Address,"5929-39 WYANDOTTE, Windsor, Ontario"
Listings,Price,"$1,299,900 "
Listings,Address,"762 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"754 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"365 PELISSIER STREET, Windsor, Ontario"
Listings,Price,"$349,900 "
Listings,Address,"V/L OLCOTT, LaSalle, Ontario"
Listings,Price,"$249,900 "
Listings,Address,"484 PELISSIER STREET, Windsor, Ontario"
Listings,Price,"$945,000 "
Listings,Address,"304 ELLIOTT STREET West, Windsor, Ontario"
Listings,Price,"$149,900 "
Listings,Address,"2015 BALFOUR BOULEVARD, Windsor, Ontario"
Listings,Price,"$999,750 "
Listings,Address,"1311 OTTAWA STREET, Windsor, Ontario"
Listings,Price,"$98,000 "
Listings,Address,"1379-1381 PIERRE Avenue, Windsor, Ontario"
Listings,Price,"$799,900 "
Listings,Address,"3905 TECUMSEH ROAD E, Windsor, Ontario"
Listings,Price,"$1,699,000 "
Listings,Address,"5929-39 WYANDOTTE, Windsor, Ontario"
Listings,Price,"$1,299,900 "
Listings,Address,"762 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"754 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"365 PELISSIER STREET, Windsor, Ontario"
Listings,Price,"$349,900 "
Listings,Address,"484 PELISSIER STREET, Windsor, Ontario"
Listings,Price,"$945,000 "
Listings,Address,"977 MARENTETTE, Windsor, Ontario"
Listings,Price,"$699,900 "
Listings,Address,"3850 DOUGALL AVENUE, Windsor, Ontario"
Listings,Price,"$125,000 "
Listings,Address,"304 ELLIOTT STREET West, Windsor, Ontario"
Listings,Price,"$149,900 "
Listings,Address,"2015 BALFOUR BOULEVARD, Windsor, Ontario"
Listings,Price,"$999,750 "
Listings,Address,"1311 OTTAWA STREET, Windsor, Ontario"
Listings,Price,"$98,000 "
Listings,Address,"1379-1381 PIERRE Avenue, Windsor, Ontario"
Listings,Price,"$799,900 "
Listings,Address,"3905 TECUMSEH ROAD E, Windsor, Ontario"
Listings,Price,"$1,699,000 "
Listings,Address,"5929-39 WYANDOTTE, Windsor, Ontario"
Listings,Price,"$1,299,900 "
Listings,Address,"762 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"754 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"365 PELISSIER STREET, Windsor, Ontario"
Listings,Price,"$349,900 "
Listings,Address,"1661 OTTAWA STREET, Windsor, Ontario"
Listings,Price,"$639,900 "
Listings,Address,"485 CHURCH STREET, Windsor, Ontario"
Listings,Price,"$749,999 "
Listings,Address,"585 MILL, Windsor, Ontario"
Listings,Price,"$3,595,000 "
Listings,Address,"1010 CAMPBELL AVENUE, Windsor, Ontario"
Listings,Price,"$1,595,000 "
Listings,Address,"574 Charlotte STREET, Windsor, Ontario"
Listings,Price,"$190,000 "
Listings,Address,"927-929 Campbell AVENUE, Windsor, Ontario"
Listings,Price,"$499,999 "
Listings,Address,"321-325 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$1,300,000 "
Listings,Address,"1474 RANDOLPH Unit# A & B, Windsor, Ontario"
Listings,Price,"$499,900 "
Listings,Address,"V/L ALBERT, Windsor, Ontario"
Listings,Price,"$159,999 "
Listings,Address,"1145 ERIE, Windsor, Ontario"
Listings,Price,"$469,000 "
Listings,Address,"1970 Tourangeau, Windsor, Ontario"
Listings,Price,"$993,000 "
Listings,Address,"853-861 WYANDOTTE STREET East, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"1661 OTTAWA STREET, Windsor, Ontario"
Listings,Price,"$639,900 "
Listings,Address,"485 CHURCH STREET, Windsor, Ontario"
Listings,Price,"$749,999 "
Listings,Address,"585 MILL, Windsor, Ontario"
Listings,Price,"$3,595,000 "
Listings,Address,"1010 CAMPBELL AVENUE, Windsor, Ontario"
Listings,Price,"$1,595,000 "
Listings,Address,"574 Charlotte STREET, Windsor, Ontario"
Listings,Price,"$190,000 "
Listings,Address,"927-929 Campbell AVENUE, Windsor, Ontario"
Listings,Price,"$499,999 "
Listings,Address,"321-325 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$1,300,000 "
Listings,Address,"1474 RANDOLPH Unit# A & B, Windsor, Ontario"
Listings,Price,"$499,900 "
Listings,Address,"V/L ALBERT, Windsor, Ontario"
Listings,Price,"$159,999 "
Listings,Address,"1145 ERIE, Windsor, Ontario"
Listings,Price,"$469,000 "
Listings,Address,"1970 Tourangeau, Windsor, Ontario"
Listings,Price,"$993,000 "
Listings,Address,"5429-5435 WYANDOTTE STREET East, Windsor, Ontario"
Listings,Price,"$699,900 "
Listings,Address,"V/L CHATHAM STREET East, Windsor, Ontario"
Listings,Price,"$139,900 "
Listings,Address,"1400 PROVINCIAL ROAD, Windsor, Ontario"
Listings,Price,"$1,250,000 "
Listings,Address,"4320 HOWARD AVENUE, Windsor, Ontario"
Listings,Price,"$79,900 "
Listings,Address,"2130 Wyandotte STREET West, Windsor, Ontario"
Listings,Price,"$159,900 "
Listings,Address,"759 Pierre, Windsor, Ontario"
Listings,Price,"$899,900 "
Listings,Address,"1530 LANGLOIS, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"469 Pelissier AVENUE, Windsor, Ontario"
Listings,Price,"$575,000 "
Listings,Address,"738 WINDSOR, Windsor, Ontario"
Listings,Price,"$1,299,000 "
Listings,Address,"374 SHEPHERD STREET West, Windsor, Ontario"
Listings,Price,"$249,900 "
Listings,Address,"1157 DROUILLARD, Windsor, Ontario"
Listings,Price,"$389,900 "
Listings,Address,"1947 Alexandra, Windsor, Ontario"
Listings,Price,"$109,000 "
Listings,Address,"5429-5435 WYANDOTTE STREET East, Windsor, Ontario"
Listings,Price,"$699,900 "
Listings,Address,"V/L CHATHAM STREET East, Windsor, Ontario"
Listings,Price,"$139,900 "
Listings,Address,"1400 PROVINCIAL ROAD, Windsor, Ontario"
Listings,Price,"$1,250,000 "
Listings,Address,"4320 HOWARD AVENUE, Windsor, Ontario"
Listings,Price,"$79,900 "
Listings,Address,"2130 Wyandotte STREET West, Windsor, Ontario"
Listings,Price,"$159,900 "
Listings,Address,"759 Pierre, Windsor, Ontario"
Listings,Price,"$899,900 "
Listings,Address,"1530 LANGLOIS, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"469 Pelissier AVENUE, Windsor, Ontario"
Listings,Price,"$575,000 "
Listings,Address,"738 WINDSOR, Windsor, Ontario"
Listings,Price,"$1,299,000 "
Listings,Address,"374 SHEPHERD STREET West, Windsor, Ontario"
Listings,Price,"$249,900 "
Listings,Address,"1157 DROUILLARD, Windsor, Ontario"
Listings,Price,"$389,900 "
Listings,Address,"1947 Alexandra, Windsor, Ontario"
Listings,Price,"$109,000 "
Listings,Address,"3401 Marentette AVENUE, Windsor, Ontario"
Listings,Price,"$1,250,000 "
Listings,Address,"469 Pelissier AVENUE, Windsor, Ontario"
Listings,Price,"$575,000 "
Listings,Address,"1241 Goyeau STREET, Windsor, Ontario"
Listings,Price,"$489,000 "
Listings,Address,"3401 Marentette AVENUE, Windsor, Ontario"
Listings,Price,"$1,600,000 "
Listings,Address,"1241 GOYEAU Street, Windsor, Ontario"
Listings,Price,"$489,000 "
Listings,Address,"131 ELLIOTT STREET, Windsor, Ontario"
Listings,Price,"$775,000 "
Listings,Address,"1927 Alexandra, Windsor, Ontario"
Listings,Price,"$109,000 "
Listings,Address,"1955 Alexandra, Windsor, Ontario"
Listings,Price,"$109,000 "
Listings,Address,"1999 Alexandra, Windsor, Ontario"
Listings,Price,"$109,000 "
Listings,Address,"V/L Byng, Windsor, Ontario"
Listings,Price,"$174,900 "
Listings,Address,"2558 HOWARD AVENUE, Windsor, Ontario"
Listings,Price,"$789,000 "
Listings,Address,"3603 WALKER, Windsor, Ontario"
Listings,Price,"$799,000 "
Listings,Address,"3401 Marentette AVENUE, Windsor, Ontario"
Listings,Price,"$1,250,000 "
Listings,Address,"469 Pelissier AVENUE, Windsor, Ontario"
Listings,Price,"$575,000 "
Listings,Address,"1241 Goyeau STREET, Windsor, Ontario"
Listings,Price,"$489,000 "
Listings,Address,"3401 Marentette AVENUE, Windsor, Ontario"
Listings,Price,"$1,600,000 "
Listings,Address,"1241 GOYEAU Street, Windsor, Ontario"
Listings,Price,"$489,000 "
Listings,Address,"131 ELLIOTT STREET, Windsor, Ontario"
Listings,Price,"$775,000 "
Listings,Address,"1927 Alexandra, Windsor, Ontario"
Listings,Price,"$109,000 "
Listings,Address,"1955 Alexandra, Windsor, Ontario"
Listings,Price,"$109,000 "
Listings,Address,"1999 Alexandra, Windsor, Ontario"
Listings,Price,"$109,000 "
Listings,Address,"V/L Byng, Windsor, Ontario"
Listings,Price,"$174,900 "
Listings,Address,"5211 TECUMSEH ROAD East, Windsor, Ontario"
Listings,Price,"$1,329,000 "
Listings,Address,"286 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$749,900 "
Listings,Address,"1935 ALEXANDRA AVENUE, Windsor, Ontario"
Listings,Price,"$109,000 "
Listings,Address,"1574 Howard AVENUE, Windsor, Ontario"
Listings,Price,"$799,000 "
Listings,Address,"1500-1502 HOWARD, Windsor, Ontario"
Listings,Price,"$499,000 "
Listings,Address,"426 TECUMSEH ROAD West Unit# LOT 147, Windsor, Ontario"
Listings,Price,"$149,900 "
Listings,Address,"1500-1502 HOWARD, Windsor, Ontario"
Listings,Price,"$499,000 "
Listings,Address,"1015 UNIVERSITY Avenue, Windsor, Ontario"
Listings,Price,"$185,000 "
Listings,Address,"V/L LAMONT, Windsor, Ontario"
Listings,Price,"$99,999 "
Listings,Address,"984 ELLROSE AVENUE, Windsor, Ontario"
Listings,Price,"$499,900 "
Listings,Address,"5211 TECUMSEH ROAD East, Windsor, Ontario"
Listings,Price,"$1,729,000 "
Listings,Address,"1913, 1925, 1949 DEVONSHIRE COURT, Windsor, Ontario"
Listings,Price,"$2,500,000 "
Listings,Address,"5211 TECUMSEH ROAD East, Windsor, Ontario"
Listings,Price,"$1,329,000 "
Listings,Address,"286 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$749,900 "
Listings,Address,"1935 ALEXANDRA AVENUE, Windsor, Ontario"
Listings,Price,"$109,000 "
Listings,Address,"1574 Howard AVENUE, Windsor, Ontario"
Listings,Price,"$799,000 "
Listings,Address,"1500-1502 HOWARD, Windsor, Ontario"
Listings,Price,"$499,000 "
Listings,Address,"426 TECUMSEH ROAD West Unit# LOT 147, Windsor, Ontario"
Listings,Price,"$149,900 "
Listings,Address,"1500-1502 HOWARD, Windsor, Ontario"
Listings,Price,"$499,000 "
Listings,Address,"1015 UNIVERSITY Avenue, Windsor, Ontario"
Listings,Price,"$185,000 "
Listings,Address,"V/L LAMONT, Windsor, Ontario"
Listings,Price,"$99,999 "
Listings,Address,"984 ELLROSE AVENUE, Windsor, Ontario"
Listings,Price,"$499,900 "
Listings,Address,"871 SHEPHERD, Windsor, Ontario"
Listings,Price,"$599,000 "
Listings,Address,"1165 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$1,199,900 "
Listings,Address,"1165 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$1,199,900 "
Listings,Address,"2645-2643 WHELPTON Street, Windsor, Ontario"
Listings,Price,"$439,000 "
Listings,Address,"1720 WALKER Unit# B, Windsor, Ontario"
Listings,Price,"$189,900 "
Listings,Address,"1637 DROUILLARD, Windsor, Ontario"
Listings,Price,"$795,000 "
Listings,Address,"V/L TEMPLE, Windsor, Ontario"
Listings,Price,"$699,900 "
Listings,Address,"1504 PELISSIER, Windsor, Ontario"
Listings,Price,"$499,999 "
Listings,Address,"V/L CONTINENTAL, Windsor, Ontario"
Listings,Price,"$399,000 "
Listings,Address,"1378 GOYEAU AVENUE, Windsor, Ontario"
Listings,Price,"$559,900 "
Listings,Address,"1039-1041 WYANDOTTE, Windsor, Ontario"
Listings,Price,"$659,000 "
Listings,Address,"9155 WYANDOTTE STREET East, Windsor, Ontario"
Listings,Price,"$8,499,900 "
Listings,Address,"801 VICTORIA, Windsor, Ontario"
Listings,Price,"$1,749,999 "
Listings,Address,"483 TECUMSEH ROAD W, Windsor, Ontario"
Listings,Price,"$990,000 "
Listings,Address,"333 HOLDEN, Windsor, Ontario"
Listings,Price,"$1,749,900 "
Listings,Address,"3021 WALKER ROAD, Windsor, Ontario"
Listings,Price,"$749,900 "
Listings,Address,"1339 BENJAMIN AVENUE, Windsor, Ontario"
Listings,Price,"$529,999 "
Listings,Address,"807 PILLETTE, Windsor, Ontario"
Listings,Price,"$79,900 "
Listings,Address,"560-562 Pierre, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"V/L RIBERDY, Windsor, Ontario"
Listings,Price,"$179,000 "
Listings,Address,"1207 MONMOUTH, Windsor, Ontario"
Listings,Price,"$4,800,000 "
Listings,Address,"1785 WALKER ROAD, Windsor, Ontario"
Listings,Price,"$5,499,000 "
Listings,Address,"1028-1030 Drouillard ROAD, Windsor, Ontario"
Listings,Price,"$199,000 "
Listings,Address,"1011 Wyandotte St W, Windsor, Ontario"
Listings,Price,"$779,000 "
Listings,Address,"V/L MULFORD, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"8031 WYANDOTTE STREET East, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"912 HALL, Windsor, Ontario"
Listings,Price,"$219,900 "
Listings,Address,"1121 Fairview, Windsor, Ontario"
Listings,Price,"$299,900 "
Listings,Address,"325 FRANK AVENUE, Windsor, Ontario"
Listings,Price,"$235,000 "
Listings,Address,"560-564 Ouellette AVENUE, Windsor, Ontario"
Listings,Price,"$1,009,900 "
Listings,Address,"560 Ouellette AVENUE, Windsor, Ontario"
Listings,Price,"$349,900 "
Listings,Address,"560-564 Ouellette AVENUE, Windsor, Ontario"
Listings,Price,"$1,349,900 "
Listings,Address,"V/L Brant STREET, Windsor, Ontario"
Listings,Price,"$169,900 "
Listings,Address,"8080 CLAIRVIEW AVENUE, Windsor, Ontario"
Listings,Price,"$529,500 "
Listings,Address,"2100 TURNER ROAD, Windsor, Ontario"
Listings,Price,"$1,150,000 "
Listings,Address,"3170-76 WALKER, Windsor, Ontario"
Listings,Price,"$1,499,900 "
Listings,Address,"418-420 Caron AVENUE, Windsor, Ontario"
Listings,Price,"$479,999 "
Listings,Address,"1636 DROUILLARD, Windsor, Ontario"
Listings,Price,"$999,000 "
Listings,Address,"9716 RIVERSIDE DRIVE East, Windsor, Ontario"
Listings,Price,"$988,000 "
Listings,Address,"1116 WYANDOTTE STREET East, Windsor, Ontario"
Listings,Price,"$499,000 "
Listings,Address,"876 ERIE STREET, Windsor, Ontario"
Listings,Price,"$749,900 "
Listings,Address,"999 ERIE STREET East, Windsor, Ontario"
Listings,Price,"$499,000 "
Listings,Address,"890 Howard AVENUE, Windsor, Ontario"
Listings,Price,"$798,888 "
Listings,Address,"1153 TECUMSEH ROAD West, Windsor, Ontario"
Listings,Price,"$16,400,000 "
Listings,Address,"1395 & 1377 LAUZON ROAD, Windsor, Ontario"
Listings,Price,"$1,799,900 "
Listings,Address,"1174 HOWARD, Windsor, Ontario"
Listings,Price,"$449,900 "
Listings,Address,"488 LAUZON ROAD, Windsor, Ontario"
Listings,Price,"$1,100,000 "
Listings,Address,"515 RIVERSIDE DRIVE West Unit# 101-104, Windsor, Ontario"
Listings,Price,"$779,900 "
Listings,Address,"1003 TUSCARORA, Windsor, Ontario"
Listings,Price,"$549,900 "
Listings,Address,"1523-27 Shepherd STREET East, Windsor, Ontario"
Listings,Price,"$449,900 "
Listings,Address,"3242 SANDWICH STREET, Windsor, Ontario"
Listings,Price,"$2,624,818 "
Listings,Address,"3242 SANDWICH Street, Windsor, Ontario"
Listings,Price,"$2,624,818 "
Listings,Address,"1219 MONMOUTH, Windsor, Ontario"
Listings,Price,"$2,000,000 "
Listings,Address,"448 TECUMSEH ROAD East, Windsor, Ontario"
Listings,Price,"$23,999 "
Listings,Address,"365 PELISSIER STREET, Windsor, Ontario"
Listings,Price,"$349,900 "
Listings,Address,"483 TECUMSEH ROAD West, Windsor, Ontario"
Listings,Price,"$990,000 "
Listings,Address,"854 PIERRE AVENUE, Windsor, Ontario"
Listings,Price,"$499,854 "
Listings,Address,"395 CURRY, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"1178 LINCOLN, Windsor, Ontario"
Listings,Price,"$879,900 "
Listings,Address,"231-233 GROVE AVENUE, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"1151 Drouillard, Windsor, Ontario"
Listings,Price,"$499,000 "
Listings,Address,"1151 Drouillard ROAD, Windsor, Ontario"
Listings,Price,"$499,000 "
Listings,Address,"3100 HOWARD, Windsor, Ontario"
Listings,Price,"$174,900 "
Listings,Address,"2823 TURNER ROAD, Windsor, Ontario"
Listings,Price,"$229,000 "
Listings,Address,"V/L CHATHAM STREET East, Windsor, Ontario"
Listings,Price,"$849,000 "
Listings,Address,"430 KARL PLACE, Windsor, Ontario"
Listings,Price,"$189,900 "
Listings,Address,"1335 WYANDOTTE, Windsor, Ontario"
Listings,Price,"$349,900 "
Listings,Address,"484-488 JANETTE, Windsor, Ontario"
Listings,Price,"$449,000 "
Listings,Address,"728-730 MARENTETTE AVENUE, Windsor, Ontario"
Listings,Price,"$579,900 "
Listings,Address,"1063 ERIE STREET, Windsor, Ontario"
Listings,Price,"$1,089,000 "
Listings,Address,"1093 DROUILLARD, Windsor, Ontario"
Listings,Price,"$675,000 "
Listings,Address,"1250-1260 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$5,500,000 "
Listings,Address,"559 PELISSIER, Windsor, Ontario"
Listings,Price,"$90,000 "
Listings,Address,"68 GILES, Windsor, Ontario"
Listings,Price,"$2,450,000 "
Listings,Address,"915 CAMPBELL AVENUE, Windsor, Ontario"
Listings,Price,"$2,280,000 "
Listings,Address,"1324 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$1,499,900 "
Listings,Address,"1301 WYANDOTTE STREET East, Windsor, Ontario"
Listings,Price,"$199,000 "
Listings,Address,"362-366 Bruce, Windsor, Ontario"
Listings,Price,"$749,000 "
Listings,Address,"247 LANGLOIS, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"3765-3767 Peter STREET, Windsor, Ontario"
Listings,Price,"$449,000 "
Listings,Address,"3765-3767 PETER Street, Windsor, Ontario"
Listings,Price,"$449,000 "
Listings,Address,"728 CHURCH STREET, Windsor, Ontario"
Listings,Price,"$196,900 "
Listings,Address,"1093 DROUILLARD, Windsor, Ontario"
Listings,Price,"$675,000 "
Listings,Address,"1250-1260 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$5,500,000 "
Listings,Address,"559 PELISSIER, Windsor, Ontario"
Listings,Price,"$90,000 "
Listings,Address,"68 GILES, Windsor, Ontario"
Listings,Price,"$2,450,000 "
Listings,Address,"915 CAMPBELL AVENUE, Windsor, Ontario"
Listings,Price,"$2,280,000 "
Listings,Address,"1324 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$1,499,900 "
Listings,Address,"1301 WYANDOTTE STREET East, Windsor, Ontario"
Listings,Price,"$199,000 "
Listings,Address,"362-366 Bruce, Windsor, Ontario"
Listings,Price,"$749,000 "
Listings,Address,"247 LANGLOIS, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"3765-3767 Peter STREET, Windsor, Ontario"
Listings,Price,"$449,000 "
Listings,Address,"3745-3747 PETER STREET, Windsor, Ontario"
Listings,Price,"$579,000 "
Listings,Address,"1027-1033 HOWARD, Windsor, Ontario"
Listings,Price,"$999,900 "
Listings,Address,"1236 MARENTETTE AVENUE, Windsor, Ontario"
Listings,Price,"$399,900 "
Listings,Address,"636 GOYEAU STREET, Windsor, Ontario"
Listings,Price,"$1 "
Listings,Address,"1008 DROUILLARD, Windsor, Ontario"
Listings,Price,"$999,999 "
Listings,Address,"1125 CRAWFORD AVENUE, Windsor, Ontario"
Listings,Price,"$1,500,000 "
Listings,Address,"208 GILES BOULEVARD E, Windsor, Ontario"
Listings,Price,"$1,799,000 "
Listings,Address,"552 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$749,900 "
Listings,Address,"3150 SANDWICH STREET W, Windsor, Ontario"
Listings,Price,"$1,599,900 "
Listings,Address,"1985 COLLEGE AVENUE N, Windsor, Ontario"
Listings,Price,"$1,799,999 "
Listings,Address,"470 SHOREVIEW CIRCLE, Windsor, Ontario"
Listings,Price,"$425,000 "
Listings,Address,"1683 COLLEGE, Windsor, Ontario"
Listings,Price,"$699,000 "
Listings,Address,"493 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$935,000 "
Listings,Address,"980 MAISONVILLE AVENUE, Windsor, Ontario"
Listings,Price,"$149,900 "
Listings,Address,"950 WYANDOTTE STREET West, Windsor, Ontario"
Listings,Price,"$149,000 "
Listings,Address,"3421 WYANDOTTE STREET East, Windsor, Ontario"
Listings,Price,"$799,000 "
Listings,Address,"728 CHURCH STREET, Windsor, Ontario"
Listings,Price,"$196,900 "
Listings,Address,"3150 SANDWICH, Windsor, Ontario"
Listings,Price,"$1,599,900 "
Listings,Address,"665 WEAVER ROAD, Windsor, Ontario"
Listings,Price,"$11,000,000 "
Listings,Address,"3473 WALKER ROAD, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"635 UNIVERSITY AVENUE East, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"635 UNIVERSITY AVENUE East, Windsor, Ontario"
Listings,Price,"$599,900 "
Listings,Address,"1171 HICKORY ROAD, Windsor, Ontario"
Listings,Price,"$149,900 "
Listings,Address,"5049 Tecumseh ROAD East, Windsor, Ontario"
Listings,Price,"$2,499,000 "
Listings,Address,"104-110 PARK STREET West, Windsor, Ontario"
Listings,Price,"$299,000 "
Listings,Address,"1067 NORTH TALBOT, Windsor, Ontario"
Listings,Price,"$464,900 "
Listings,Address,"1011 Albert ROAD, Windsor, Ontario"
Listings,Price,"$599,000 "
Listings,Address,"1477 WYANDOTTE East, Windsor, Ontario"
Listings,Price,"$625,000 "
Listings,Address,"1477 WYANDOTTE East, Windsor, Ontario"
Listings,Price,"$625,000 "
Listings,Address,"2486 RIVARD, Windsor, Ontario"
Listings,Price,"$2,399,900 "
Listings,Address,"2486 RIVARD, Windsor, Ontario"
Listings,Price,"$2,399,900 "
Listings,Address,"3457 WALKER ROAD, Windsor, Ontario"
Listings,Price,"$450,000 "
Listings,Address,"3453 WALKER ROAD, Windsor, Ontario"
Listings,Price,"$429,000 "
Listings,Address,"731-735 GOYEAU STREET, Windsor, Ontario"
Listings,Price,"$7,250,000 "
Listings,Address,"3195-97 MCROBBIE, Windsor, Ontario"
Listings,Price,"$288,900 "
Listings,Address,"105 - 650 DIVISION ROAD, Windsor, Ontario"
Listings,Price,"$499,000 "
Listings,Address,"1140 LAUZON ROAD, Tecumseh, Ontario"
Listings,Price,"$2,800,000 "
Listings,Address,"1140 LAUZON, Windsor, Ontario"
Listings,Price,"$2,800,000 "
Listings,Address,"559 OUELLETTE AVENUE, Windsor, Ontario"
Listings,Price,"$1,975,000 "
Listings,Address,"546 OUELLETTE AVENUE W, Windsor, Ontario"
Listings,Price,"$1,100,000 "
Listings,Address,"1100 ERIE STREET East, Windsor, Ontario"
Listings,Price,"$1,399,000 "
Listings,Address,"2670-2714 DOUGALL AVENUE, Windsor, Ontario"
Listings,Price,"$2,790,000 "
Listings,Address,"6010 NORTH SERVICE ROAD East, Windsor, Ontario"
Listings,Price,"$795,000 "
Listings,Address,"440 PRINCE ROAD, Windsor, Ontario"
Listings,Price,"$699,900 "
Listings,Address,"525 WYANDOTTE STREET West, Windsor, Ontario"
Listings,Price,"$7,350,000 "
Listings,Address,"57 EDINBOROUGH, Windsor, Ontario"
Listings,Price,"$1,950,000 "
Listings,Address,"930 MARION, Windsor, Ontario"
Listings,Price,"$18,000,000 "
Listings,Address,"401 PARENT AVENUE, Windsor, Ontario"
Listings,Price,"$1,499,000 "
Listings,Address,"1140 LAUZON ROAD, Tecumseh, Ontario"
Listings,Price,"$2,800,000 "
Listings,Address,"1112-1114 HICKORY ROAD, Windsor, Ontario"
Listings,Price,"$699,900 "
Listings,Address,"902-916 WYANDOTTE ST E, Windsor, Ontario"
Listings,Price,"$1,300,000 "
Listings,Address,"V/L CALIFORNIA AVENUE, Windsor, Ontario"
Listings,Price,"$175,000 "
Listings,Address,"1505 RANKIN AVENUE, Windsor, Ontario"
Listings,Price,"$375,000 "
Listings,Address,"1500 PILLETTE ROAD, Windsor, Ontario"
Listings,Price,"$650,000 "
Listings,Address,"3141-43 DONNELLY STREET, Windsor, Ontario"
Listings,Price,"$699,000 "
Listings,Address,"679 WYANDOTTE STREET E, Windsor, Ontario"
Listings,Price,"$2,899,000 "
Listings,Address,"675 TECUMSEH ROAD W, Windsor, Ontario"
Listings,Price,"$8,499,000 "
Listings,Address,"315 UNIVERSITY AVENUE W, Windsor, Ontario"
Listings,Price,"$1 "
Listings,Address,"200 PARK STREET W, Windsor, Ontario"
Listings,Price,"$1 "
Listings,Address,"546 PARTINGTON Avenue, Windsor, Ontario"
Listings,Price,"$1,290,000 "
Listings,Address,"1916 WYANDOTTE STREET W, Windsor, Ontario"
Listings,Price,"$1,150,000 "
Listings,Address,"925 CRAWFORD AVENUE, Windsor, Ontario"
Listings,Price,"$1,749,000 "
Listings,Address,"1501 HOWARD AVENUE, Windsor, Ontario"
Listings,Price,"$2,900,000 "
Listings,Address,"1525 DUFFERIN, Windsor, Ontario"
Listings,Price,"$799,900 "
Listings,Address,"400 ERIE STREET East, Windsor, Ontario"
Listings,Price,"$3,760,000 "
Listings,Address,"V/L ST. CLAIR AVENUE, Windsor, Ontario"
Listings,Price,"$219,000 "
Listings,Address,"3177 RUSSELL, Windsor, Ontario"
Listings,Price,"$699,900 "
Listings,Address,"3177 RUSSELL, Windsor, Ontario"
