Price,Address,Details,URL,Image File
"$729,000","105 - 293 THE KINSWAY WAY, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/105-293-the-kinsway-way-wp_idm73000004-26983113-lst,images/105___293_THE_KINSWAY_WAY__Toronto__ON.jpg
"$2,150","208 - 205 KEELE STREET, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/208-205-keele-street-wp_idm73000004-26983109-lst,images/208___205_KEELE_STREET__Toronto__ON.jpg
"$1,049,000","395 SCARBOROUGH ROAD, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/395-scarborough-road-wp_idm73000004-26983073-lst,images/395_SCARBOROUGH_ROAD__Toronto__ON.jpg
"$1,999,000","22 INNISMORE CRESCENT, Toronto, ON",4 bed 5 bath,https://www.remax.ca/on/toronto-real-estate/22-innismore-crescent-wp_idm73000004-26983065-lst,images/22_INNISMORE_CRESCENT__Toronto__ON.jpg
"$1,100,000","2912 - 300 FRONT STREET W, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/2912-300-front-street-w-wp_idm73000004-26983059-lst,images/2912___300_FRONT_STREET_W__Toronto__ON.jpg
"$3,299,900","PH1034 - 55 STEWART STREET, Toronto, ON",2 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/ph1034-55-stewart-street-wp_idm73000004-26983051-lst,images/PH1034___55_STEWART_STREET__Toronto__ON.jpg
"$888,000","171 CEDRIC AVENUE, Toronto, ON",n/a bed 0 bath,https://www.remax.ca/on/toronto-real-estate/171-cedric-avenue-wp_idm73000004-26983054-lst,images/171_CEDRIC_AVENUE__Toronto__ON.jpg
"$899,000","917 LANSDOWNE AVENUE, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/917-lansdowne-avenue-wp_idm73000004-26982692-lst,images/917_LANSDOWNE_AVENUE__Toronto__ON.jpg
"$1,350,000","23 MELODY ROAD, Toronto, ON",5 bed 4 bath,https://www.remax.ca/on/toronto-real-estate/23-melody-road-wp_idm73000004-26982688-lst,images/23_MELODY_ROAD__Toronto__ON.jpg
"$494,900","1001 - 200 LOTHERTON PATHWAY, Toronto, ON",3 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/1001-200-lotherton-pathway-wp_idm73000004-26982693-lst,images/1001___200_LOTHERTON_PATHWAY__Toronto__ON.jpg
"$1,099,000","PH2901 - 205 WYNFORD DRIVE, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/ph2901-205-wynford-drive-wp_idm73000004-26982608-lst,images/PH2901___205_WYNFORD_DRIVE__Toronto__ON.jpg
"$979,000","616 OAKWOOD AVENUE, Toronto, ON",3 bed 2 bath,https://www.remax.ca/luxury/on/toronto-real-estate/616-oakwood-avenue-wp_idm73000004-26982609-lst,images/616_OAKWOOD_AVENUE__Toronto__ON.jpg
"$658,000","4604 - 197 YONGE STREET, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/4604-197-yonge-street-wp_idm73000004-26982606-lst,images/4604___197_YONGE_STREET__Toronto__ON.jpg
"$1,599,000","23 ROWLEY AVENUE, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/23-rowley-avenue-wp_idm73000004-26982605-lst,images/23_ROWLEY_AVENUE__Toronto__ON.jpg
"$775,000","1108 - 38 THE ESPLANADE, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/1108-38-the-esplanade-wp_idm73000004-26982600-lst,images/1108___38_THE_ESPLANADE__Toronto__ON.jpg
"$1,100,000","1906 - 300 BLOOR STREET E, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/1906-300-bloor-street-e-wp_idm73000004-26982573-lst,images/1906___300_BLOOR_STREET_E__Toronto__ON.jpg
"$1,400,000","233 DAVID DUNLAP CIRCLE E, Toronto, ON",3 bed 6 bath,https://www.remax.ca/on/toronto-real-estate/233-david-dunlap-circle-e-wp_idm73000004-26982579-lst,images/233_DAVID_DUNLAP_CIRCLE_E__Toronto__ON.jpg
"$1,345,000","637 - 55 STEWART STREET, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/637-55-stewart-street-wp_idm73000004-26982576-lst,images/637___55_STEWART_STREET__Toronto__ON.jpg
"$3,195,000","86 GORMLEY AVENUE, Toronto, ON",4 bed 4 bath,https://www.remax.ca/on/toronto-real-estate/86-gormley-avenue-wp_idm73000004-26981800-lst,images/86_GORMLEY_AVENUE__Toronto__ON.jpg
"$1,398,000","103 - 520 RIVERSIDE DRIVE, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/103-520-riverside-drive-wp_idm73000004-26981975-lst,images/103___520_RIVERSIDE_DRIVE__Toronto__ON.jpg
"$1,865,000","152 HUMBERCREST BOULEVARD, Toronto, ON",4 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/152-humbercrest-boulevard-wp_idm73000004-26981936-lst,images/152_HUMBERCREST_BOULEVARD__Toronto__ON.jpg
"$1,248,800","71 QUEENS AVENUE, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/71-queens-avenue-wp_idm73000004-26981943-lst,images/71_QUEENS_AVENUE__Toronto__ON.jpg
"$899,000","86 CAYUGA AVENUE, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/86-cayuga-avenue-wp_idm73000004-26981937-lst,images/86_CAYUGA_AVENUE__Toronto__ON.jpg
"$589,800","1811 - 3077 WESTON ROAD, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/1811-3077-weston-road-wp_idm73000004-26981924-lst,images/1811___3077_WESTON_ROAD__Toronto__ON.jpg
"$1,999,000","909 ROYAL YORK ROAD, Toronto, ON",4 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/909-royal-york-road-wp_idm73000004-26981929-lst,images/909_ROYAL_YORK_ROAD__Toronto__ON.jpg
"$1,299,900","70 FORTHBRIDGE CRESCENT, Toronto, ON",5 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/70-forthbridge-crescent-wp_idm73000004-26981922-lst,images/70_FORTHBRIDGE_CRESCENT__Toronto__ON.jpg
"$1,490,000","54 ASH CRESCENT, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/54-ash-crescent-wp_idm73000004-26981920-lst,images/54_ASH_CRESCENT__Toronto__ON.jpg
"$459,000","535 - 665 KENNEDY ROAD, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/535-665-kennedy-road-wp_idm73000004-26981831-lst,images/535___665_KENNEDY_ROAD__Toronto__ON.jpg
"$949,000","51 SLOLEY ROAD, Toronto, ON",4 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/51-sloley-road-wp_idm73000004-26981825-lst,images/51_SLOLEY_ROAD__Toronto__ON.jpg
"$1,799,000","199 BOULTON AVENUE, Toronto, ON",3 bed 4 bath,https://www.remax.ca/on/toronto-real-estate/199-boulton-avenue-wp_idm73000004-26981823-lst,images/199_BOULTON_AVENUE__Toronto__ON.jpg
"$1,728,000","371 ASHDALE AVENUE, Toronto, ON",4 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/371-ashdale-avenue-wp_idm73000004-26981815-lst,images/371_ASHDALE_AVENUE__Toronto__ON.jpg
"$1,249,900","41 WESTLAKE CRESCENT, Toronto, ON",4 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/41-westlake-crescent-wp_idm73000004-26981818-lst,images/41_WESTLAKE_CRESCENT__Toronto__ON.jpg
"$649,000","501 - 150 NEPTUNE DRIVE, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/501-150-neptune-drive-wp_idm73000004-26981803-lst,images/501___150_NEPTUNE_DRIVE__Toronto__ON.jpg
"$608,888","3708 - 197 YONGE STREET, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/3708-197-yonge-street-wp_idm73000004-26981802-lst,images/3708___197_YONGE_STREET__Toronto__ON.jpg
"$939,000","2503 - 49 EAST LIBERTY STREET, Toronto, ON",4 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/2503-49-east-liberty-street-wp_idm73000004-26981797-lst,images/2503___49_EAST_LIBERTY_STREET__Toronto__ON.jpg
"$2,938,000","335 MELROSE AVENUE, Toronto, ON",5 bed 5 bath,https://www.remax.ca/on/toronto-real-estate/335-melrose-avenue-wp_idm73000004-26981779-lst,images/335_MELROSE_AVENUE__Toronto__ON.jpg
"$3,500,000","1177 AVENUE ROAD, Toronto, ON",3 bed 4 bath,https://www.remax.ca/on/toronto-real-estate/1177-avenue-road-wp_idm73000004-26981770-lst,images/1177_AVENUE_ROAD__Toronto__ON.jpg
"$3,395","5 - 1472 AVENUE ROAD, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/5-1472-avenue-road-wp_idm73000004-26981774-lst,images/5___1472_AVENUE_ROAD__Toronto__ON.jpg
"$3,395","4 - 1472 AVENUE ROAD, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/4-1472-avenue-road-wp_idm73000004-26981768-lst,images/4___1472_AVENUE_ROAD__Toronto__ON.jpg
"$568,000","812 - 75 QUEENS WHARF ROAD, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/812-75-queens-wharf-road-wp_idm73000004-26981766-lst,images/812___75_QUEENS_WHARF_ROAD__Toronto__ON.jpg
"$3,395","3 - 1472 AVENUE ROAD, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/3-1472-avenue-road-wp_idm73000004-26981760-lst,images/3___1472_AVENUE_ROAD__Toronto__ON.jpg
"$998,888","188 OAKWOOD AVENUE, Toronto, ON",6 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/188-oakwood-avenue-wp_idm73000004-26981751-lst,images/188_OAKWOOD_AVENUE__Toronto__ON.jpg
"$899,000","1602 - 19 GRAND TRUNK CRESCENT, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/1602-19-grand-trunk-crescent-wp_idm73000004-26981750-lst,images/1602___19_GRAND_TRUNK_CRESCENT__Toronto__ON.jpg
"$2,749,000","130 KEEWATIN AVENUE, Toronto, ON",6 bed 4 bath,https://www.remax.ca/on/toronto-real-estate/130-keewatin-avenue-wp_idm73000004-26981755-lst,images/130_KEEWATIN_AVENUE__Toronto__ON.jpg
"$599,999","1612 - 80 QUEENS WHARF ROAD, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/1612-80-queens-wharf-road-wp_idm73000004-26981762-lst,images/1612___80_QUEENS_WHARF_ROAD__Toronto__ON.jpg
"$2,195","1 - 1436 AVENUE ROAD, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/1-1436-avenue-road-wp_idm73000004-26981759-lst,images/1___1436_AVENUE_ROAD__Toronto__ON.jpg
"$799,000","601 - 1815 YONGE STREET, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/601-1815-yonge-street-wp_idm73000004-26981740-lst,images/601___1815_YONGE_STREET__Toronto__ON.jpg
"$699,000","2210 - 381 FRONT STREET W, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/2210-381-front-street-w-wp_idm73000004-26981736-lst,images/2210___381_FRONT_STREET_W__Toronto__ON.jpg
"$499,000","3501 - 195 REDPATH AVENUE, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/3501-195-redpath-avenue-wp_idm73000004-26981735-lst,images/3501___195_REDPATH_AVENUE__Toronto__ON.jpg
"$635,000","407 - 1030 KING STREET W, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/407-1030-king-street-w-wp_idm73000004-26981727-lst,images/407___1030_KING_STREET_W__Toronto__ON.jpg
"$589,000","1706 - 21 OVERLEA BOULEVARD, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/1706-21-overlea-boulevard-wp_idm73000004-26981734-lst,images/1706___21_OVERLEA_BOULEVARD__Toronto__ON.jpg
"$488,000","3604 - 70 TEMPERANCE STREET, Toronto, ON",0 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/3604-70-temperance-street-wp_idm73000004-26981726-lst,images/3604___70_TEMPERANCE_STREET__Toronto__ON.jpg
"$2,349","1 - 1472 AVENUE ROAD, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/1-1472-avenue-road-wp_idm73000004-26981721-lst,images/1___1472_AVENUE_ROAD__Toronto__ON.jpg
"$3,395","2 - 1472 AVENUE ROAD, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/2-1472-avenue-road-wp_idm73000004-26981722-lst,images/2___1472_AVENUE_ROAD__Toronto__ON.jpg
"$1,998,000","1926 LAKE SHORE Boulevard W Unit# PH01, Toronto, ON",3 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/1926-lake-shore-boulevard-w-unit-ph01-wp_idm73000004-26981626-lst,images/1926_LAKE_SHORE_Boulevard_W_Unit__PH01__Toronto__ON.jpg
"$565,000","403 - 2087 LAKE SHORE BOULEVARD, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/403-2087-lake-shore-boulevard-wp_idm73000004-26981103-lst,images/403___2087_LAKE_SHORE_BOULEVARD__Toronto__ON.jpg
"$1,325,000","271 PELLATT AVENUE, Toronto, ON",4 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/271-pellatt-avenue-wp_idm73000004-26981110-lst,images/271_PELLATT_AVENUE__Toronto__ON.jpg
"$899,000","PH01 - 10 PARK LAWN ROAD, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/ph01-10-park-lawn-road-wp_idm73000004-26981104-lst,images/PH01___10_PARK_LAWN_ROAD__Toronto__ON.jpg
"$899,000","301 HARVIE AVENUE, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/301-harvie-avenue-wp_idm73000004-26981093-lst,images/301_HARVIE_AVENUE__Toronto__ON.jpg
"$680,000","604 - 5101 DUNDAS STREET W, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/604-5101-dundas-street-w-wp_idm73000004-26981108-lst,images/604___5101_DUNDAS_STREET_W__Toronto__ON.jpg
"$1,199,000","35 WESLEY STREET, Toronto, ON",5 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/35-wesley-street-wp_idm73000004-26981072-lst,images/35_WESLEY_STREET__Toronto__ON.jpg
"$599,990","610 - 3091 DUFFERIN STREET, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/610-3091-dufferin-street-wp_idm73000004-26981076-lst,images/610___3091_DUFFERIN_STREET__Toronto__ON.jpg
"$1,099,000","140 LIVINGSTONE AVENUE, Toronto, ON",4 bed 4 bath,https://www.remax.ca/on/toronto-real-estate/140-livingstone-avenue-wp_idm73000004-26981062-lst,images/140_LIVINGSTONE_AVENUE__Toronto__ON.jpg
"$1,875,000","1178 ROYAL YORK ROAD, Toronto, ON",6 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/1178-royal-york-road-wp_idm73000004-26981069-lst,images/1178_ROYAL_YORK_ROAD__Toronto__ON.jpg
"$505,000","214 - 1787 ST CLAIR AVENUE W, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/214-1787-st-clair-avenue-w-wp_idm73000004-26981060-lst,images/214___1787_ST_CLAIR_AVENUE_W__Toronto__ON.jpg
"$950,000","202 - 2267 LAKE SHORE BOULEVARD, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/202-2267-lake-shore-boulevard-wp_idm73000004-26981045-lst,images/202___2267_LAKE_SHORE_BOULEVARD__Toronto__ON.jpg
"$499,000","603 - 3100 KEELE STREET, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/603-3100-keele-street-wp_idm73000004-26981053-lst,images/603___3100_KEELE_STREET__Toronto__ON.jpg
"$1,648,000","44 PARKVIEW HILL CRESCENT, Toronto, ON",4 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/44-parkview-hill-crescent-wp_idm73000004-26980973-lst,images/44_PARKVIEW_HILL_CRESCENT__Toronto__ON.jpg
"$899,000","1821 - 33 HARBOUR SQUARE, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/1821-33-harbour-square-wp_idm73000004-26980935-lst,images/1821___33_HARBOUR_SQUARE__Toronto__ON.jpg
"$2,399,000","PH3405 - 15 QUEENS QUAY E, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/ph3405-15-queens-quay-e-wp_idm73000004-26980933-lst,images/PH3405___15_QUEENS_QUAY_E__Toronto__ON.jpg
"$1,098,000","311 - 501 ADELAIDE STREET W, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/311-501-adelaide-street-w-wp_idm73000004-26980951-lst,images/311___501_ADELAIDE_STREET_W__Toronto__ON.jpg
"$1,398,000","18 CONNAUGHT AVENUE, Toronto, ON",3 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/18-connaught-avenue-wp_idm73000004-26980962-lst,images/18_CONNAUGHT_AVENUE__Toronto__ON.jpg
"$849,900","206 - 1960 QUEEN STREET, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/206-1960-queen-street-wp_idm73000004-26980954-lst,images/206___1960_QUEEN_STREET__Toronto__ON.jpg
"$2,395","14 - 510 JARVIS STREET, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/14-510-jarvis-street-wp_idm73000004-26980946-lst,images/14___510_JARVIS_STREET__Toronto__ON.jpg
"$690,000","1010 - 426 UNIVERSITY AVENUE, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/1010-426-university-avenue-wp_idm73000004-26980914-lst,images/1010___426_UNIVERSITY_AVENUE__Toronto__ON.jpg
"$638,000","3004 - 30 ROEHAMPTON AVENUE, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/3004-30-roehampton-avenue-wp_idm73000004-26980929-lst,images/3004___30_ROEHAMPTON_AVENUE__Toronto__ON.jpg
"$588,000","3204 - 55 BREMNER BOULEVARD, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/3204-55-bremner-boulevard-wp_idm73000004-26980917-lst,images/3204___55_BREMNER_BOULEVARD__Toronto__ON.jpg
"$12,800,000","100 ARDWOLD GATE, Toronto, ON",5 bed 7 bath,https://www.remax.ca/luxury/on/toronto-real-estate/100-ardwold-gate-wp_idm73000004-26980871-lst,images/100_ARDWOLD_GATE__Toronto__ON.jpg
"$1,798,900","30 WYCHWOOD AVENUE, Toronto, ON",4 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/30-wychwood-avenue-wp_idm73000004-26980878-lst,images/30_WYCHWOOD_AVENUE__Toronto__ON.jpg
"$1,048,000","601 - 70 MONTCLAIR AVENUE, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/601-70-montclair-avenue-wp_idm73000004-26980891-lst,images/601___70_MONTCLAIR_AVENUE__Toronto__ON.jpg
"$999,000","245 BROCK AVENUE, Toronto, ON",4 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/245-brock-avenue-wp_idm73000004-26980867-lst,images/245_BROCK_AVENUE__Toronto__ON.jpg
"$1,598,000","19 EARL STREET, Toronto, ON",3 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/19-earl-street-wp_idm73000004-26980873-lst,images/19_EARL_STREET__Toronto__ON.jpg
"$400,000","1109 - 705 KING STREET W, Toronto, ON",0 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/1109-705-king-street-w-wp_idm73000004-26980874-lst,images/1109___705_KING_STREET_W__Toronto__ON.jpg
"$1,795,000","78 SOUTHVALE DRIVE, Toronto, ON",3 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/78-southvale-drive-wp_idm73000004-26980860-lst,images/78_SOUTHVALE_DRIVE__Toronto__ON.jpg
"$3,395,000","33 BLYTHWOOD ROAD, Toronto, ON",5 bed 5 bath,https://www.remax.ca/on/toronto-real-estate/33-blythwood-road-wp_idm73000004-26979848-lst,images/33_BLYTHWOOD_ROAD__Toronto__ON.jpg
"$674,900","918 - 1485 LAKESHORE ROAD E, Mississauga, ON",3 bed 2 bath,https://www.remax.ca/on/mississauga-real-estate/918-1485-lakeshore-road-e-wp_idm73000004-26980048-lst,images/918___1485_LAKESHORE_ROAD_E__Mississauga__ON.jpg
"$599,000","710 - 2799 KINGSTON ROAD, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/710-2799-kingston-road-wp_idm73000004-26979907-lst,images/710___2799_KINGSTON_ROAD__Toronto__ON.jpg
"$629,000","802 - 38 ELM STREET, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/802-38-elm-street-wp_idm73000004-26979851-lst,images/802___38_ELM_STREET__Toronto__ON.jpg
"$899,000","29A CLAXTON BOULEVARD, Toronto, ON",2 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/29a-claxton-boulevard-wp_idm73000004-26979855-lst,images/29A_CLAXTON_BOULEVARD__Toronto__ON.jpg
"$539,000","203 - 25 TELEGRAM MEWS, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/203-25-telegram-mews-wp_idm73000004-26979857-lst,images/203___25_TELEGRAM_MEWS__Toronto__ON.jpg
"$799,900","30 BUTTONWOOD AVENUE, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/30-buttonwood-avenue-wp_idm73000004-26980050-lst,images/30_BUTTONWOOD_AVENUE__Toronto__ON.jpg
"$2,199,000","316 SALEM AVENUE, Toronto, ON",4 bed 4 bath,https://www.remax.ca/on/toronto-real-estate/316-salem-avenue-wp_idm73000004-26980042-lst,images/316_SALEM_AVENUE__Toronto__ON.jpg
"$649,999","103 - 32 FIELDWAY ROAD, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/103-32-fieldway-road-wp_idm73000004-26980044-lst,images/103___32_FIELDWAY_ROAD__Toronto__ON.jpg
"$499,999","1103 - 61 HEINTZMAN STREET, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/1103-61-heintzman-street-wp_idm73000004-26980007-lst,images/1103___61_HEINTZMAN_STREET__Toronto__ON.jpg
"$599,990","1816 - 1926 LAKE SHORE BOULEVARD W, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/1816-1926-lake-shore-boulevard-w-wp_idm73000004-26980009-lst,images/1816___1926_LAKE_SHORE_BOULEVARD_W__Toronto__ON.jpg
"$1,898,000","250 GRENVIEW BOULEVARD S, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/250-grenview-boulevard-s-wp_idm73000004-26979991-lst,images/250_GRENVIEW_BOULEVARD_S__Toronto__ON.jpg
"$1,469,000","159 YARMOUTH ROAD, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/159-yarmouth-road-wp_idm73000004-26980003-lst,images/159_YARMOUTH_ROAD__Toronto__ON.jpg
"$1,799,000","290 GAMMA STREET, Toronto, ON",5 bed 4 bath,https://www.remax.ca/on/toronto-real-estate/290-gamma-street-wp_idm73000004-26979992-lst,images/290_GAMMA_STREET__Toronto__ON.jpg
"$498,000","816 - 1787 ST CLAIR AVENUE W, Toronto, ON",2 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/816-1787-st-clair-avenue-w-wp_idm73000004-26979985-lst,images/816___1787_ST_CLAIR_AVENUE_W__Toronto__ON.jpg
"$1,049,000","3 ELMONT DRIVE, Toronto, ON",4 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/3-elmont-drive-wp_idm73000004-26979898-lst,images/3_ELMONT_DRIVE__Toronto__ON.jpg
